PAO1_gene_id	annotation
PA0001	core
PA0002	core
PA0003	core
PA0004	core
PA0005	core
PA0006	core
PA0007	core
PA0008	core
PA0009	core
PA0010	core
PA0011	core
PA0012	core
PA0013	core
PA0014	core
PA0015	core
PA0016	core
PA0017	core
PA0018	core
PA0019	core
PA0020	core
PA0021	core
PA0022	core
PA0023	core
PA0024	core
PA0025	core
PA0026	core
PA0027	core
PA0028	core
PA0029	core
PA0030	core
PA0031	core
PA0032	core
PA0033	core
PA0034	core
PA0035	core
PA0036	core
PA0037	core
PA0038	core
PA0039	core
PA0040	core
PA0041	core
PA0042	core
PA0043	core
PA0044	core
PA0045	core
PA0046	core
PA0047	core
PA0048	core
PA0049	core
PA0050	core
PA0051	core
PA0052	core
PA0053	accessory
PA0054	core
PA0055	core
PA0056	core
PA0057	core
PA0058	core
PA0059	core
PA0060	core
PA0061	core
PA0062	core
PA0063	core
PA0064	core
PA0065	core
PA0066	core
PA0067	core
PA0068	core
PA0069	core
PA0070	core
PA0071	core
PA0072	core
PA0073	core
PA0074	core
PA0075	core
PA0076	core
PA0077	core
PA0078	core
PA0079	core
PA0080	core
PA0081	core
PA0082	core
PA0083	core
PA0084	core
PA0085	core
PA0086	core
PA0087	core
PA0088	core
PA0089	core
PA0090	core
PA0091	core
PA0092	core
PA0093	core
PA0094	core
PA0095	accessory
PA0096	core
PA0097	core
PA0098	core
PA0099	core
PA0100	accessory
PA0101	core
PA0102	core
PA0103	core
PA0104	core
PA0105	core
PA0106	core
PA0107	core
PA0108	core
PA0109	core
PA0110	core
PA0111	core
PA0112	core
PA0113	core
PA0114	core
PA0115	core
PA0116	core
PA0117	core
PA0118	core
PA0119	core
PA0120	core
PA0121	core
PA0122	core
PA0123	core
PA0124	core
PA0125	core
PA0126	core
PA0127	core
PA0128	core
PA0129	core
PA0130	core
PA0131	core
PA0132	core
PA0133	core
PA0134	core
PA0135	accessory
PA0136	core
PA0137	core
PA0138	core
PA0139	core
PA0140	core
PA0141	core
PA0142	core
PA0143	core
PA0144	core
PA0145	core
PA0146	core
PA0147	core
PA0148	core
PA0149	core
PA0150	core
PA0151	core
PA0152	core
PA0153	core
PA0154	core
PA0155	core
PA0156	core
PA0157	core
PA0158	core
PA0159	core
PA0160	core
PA0161	core
PA0162	core
PA0163	core
PA0164	core
PA0165	core
PA0166	core
PA0167	core
PA0168	core
PA0169	core
PA0170	core
PA0171	core
PA0172	core
PA0173	core
PA0174	core
PA0175	core
PA0176	core
PA0177	core
PA0178	core
PA0179	core
PA0180	core
PA0181	core
PA0182	core
PA0183	core
PA0184	core
PA0185	core
PA0186	core
PA0187	accessory
PA0188	accessory
PA0189	core
PA0190	core
PA0191	core
PA0192	core
PA0193	core
PA0194	core
PA0195	core
PA0196	core
PA0197	core
PA0198	core
PA0199	core
PA0200	core
PA0201	core
PA0202	accessory
PA0203	accessory
PA0204	accessory
PA0205	accessory
PA0206	accessory
PA0207	accessory
PA0208	core
PA0209	core
PA0210	core
PA0211	core
PA0212	core
PA0213	core
PA0214	core
PA0215	core
PA0216	core
PA0217	core
PA0218	core
PA0219	core
PA0220	core
PA0221	core
PA0222	core
PA0223	core
PA0224	core
PA0225	core
PA0226	core
PA0227	core
PA0228	core
PA0229	core
PA0230	core
PA0231	core
PA0232	core
PA0233	core
PA0234	core
PA0235	core
PA0236	core
PA0237	core
PA0238	core
PA0239	core
PA0240	core
PA0241	core
PA0242	core
PA0243	core
PA0244	core
PA0245	core
PA0246	core
PA0247	core
PA0248	core
PA0249	core
PA0250	core
PA0251	core
PA0252	core
PA0253	core
PA0254	core
PA0255	core
PA0256	core
PA0257	accessory
PA0258	accessory
PA0259	core
PA0260	core
PA0261	core
PA0262	core
PA0263	core
PA0264	core
PA0265	core
PA0266	core
PA0267	core
PA0268	core
PA0269	core
PA0270	core
PA0271	core
PA0272	core
PA0273	core
PA0274	core
PA0275	core
PA0276	core
PA0277	core
PA0278	core
PA0279	core
PA0280	core
PA0281	core
PA0282	core
PA0283	core
PA0284	core
PA0285	core
PA0286	core
PA0287	core
PA0288	core
PA0289	core
PA0290	core
PA0291	core
PA0292	core
PA0293	core
PA0294	core
PA0295	core
PA0296	core
PA0297	core
PA0298	core
PA0299	core
PA0300	core
PA0301	core
PA0302	core
PA0303	core
PA0304	core
PA0305	core
PA0306	core
PA0307	core
PA0308	core
PA0309	core
PA0310	core
PA0311	core
PA0312	core
PA0313	core
PA0314	core
PA0315	core
PA0316	core
PA0317	core
PA0318	core
PA0319	core
PA0320	core
PA0321	core
PA0322	core
PA0323	core
PA0324	core
PA0325	core
PA0326	core
PA0327	core
PA0328	core
PA0329	core
PA0330	core
PA0331	core
PA0332	core
PA0333	core
PA0334	core
PA0335	core
PA0336	core
PA0337	core
PA0338	core
PA0339	core
PA0340	core
PA0341	core
PA0342	core
PA0343	core
PA0344	core
PA0345	core
PA0346	core
PA0347	core
PA0348	core
PA0349	core
PA0350	core
PA0351	core
PA0352	core
PA0353	core
PA0354	core
PA0355	core
PA0356	core
PA0357	core
PA0358	core
PA0359	core
PA0360	core
PA0361	core
PA0362	core
PA0363	core
PA0364	core
PA0365	core
PA0366	core
PA0367	core
PA0368	core
PA0369	core
PA0370	core
PA0371	core
PA0372	core
PA0373	core
PA0374	core
PA0375	core
PA0376	core
PA0377	core
PA0378	core
PA0379	core
PA0380	core
PA0381	core
PA0382	core
PA0383	core
PA0384	core
PA0385	core
PA0386	core
PA0387	core
PA0388	core
PA0389	core
PA0390	core
PA0391	core
PA0392	core
PA0393	core
PA0394	core
PA0395	core
PA0396	core
PA0397	core
PA0398	core
PA0399	core
PA0400	core
PA0401	core
PA0402	core
PA0403	core
PA0404	core
PA0405	core
PA0406	core
PA0407	core
PA0408	core
PA0409	core
PA0410	core
PA0411	core
PA0412	core
PA0413	core
PA0414	core
PA0415	core
PA0416	core
PA0417	core
PA0418	core
PA0419	core
PA0420	core
PA0421	core
PA0422	core
PA0423	core
PA0424	core
PA0425	core
