Gene.Function	PA14	PAO1
(RefSeq) 2-ketogluconate transporter		1.0
(RefSeq) ABC transporter ATP-binding protein		1.0
(RefSeq) ATP-dependent RNA helicase		1.0
(RefSeq) ClpA/B-type protease		1.0
(RefSeq) ECF sigma factor FemI		1.0
(RefSeq) Fis family transcriptional regulator	1.0
(RefSeq) GTP pyrophosphokinase		1.0
(RefSeq) GTP pyrophosphokinase relA		2.0
(RefSeq) HTH-type transcriptional regulator PrtR		1.0
(RefSeq) RNA polymerase factor sigma-54		3.0
(RefSeq) RNA polymerase sigma factor RpoD		1.0
(RefSeq) RNA polymerase sigma factor RpoH	2.0
(RefSeq) RNA pyrophosphohydrolase		1.0
(RefSeq) RNA-binding protein Hfq		3.0
(RefSeq) adhesin		1.0
(RefSeq) anthranilate--CoA ligase	1.0
(RefSeq) biofilm formation protein PslB		1.0
(RefSeq) carbon storage regulator		1.0
(RefSeq) chemotaxis-specific methylesterase		1.0
(RefSeq) elastase LasB	1.0
(RefSeq) elongation factor G		1.0
(RefSeq) flagellar biosynthesis sigma factor FliA		1.0
(RefSeq) flagellar hook-associated protein FlgK	1.0
(RefSeq) guanidinobutyrase		1.0
(RefSeq) hypothetical protein	2.0	3.0
(RefSeq) molecular chaperone LolB	1.0
(RefSeq) protein BfmR		1.0
(RefSeq) regulatory RNA PrrF1		1.0
(RefSeq) resistance-nodulation-cell division (RND) efflux membrane fusion protein		1.0
(RefSeq) sigma factor AlgU negative regulator MucA		1.0
(RefSeq) sigma factor regulator VreR		1.0
(RefSeq) transcriptional regulator	1.0	7.0
(RefSeq) transcriptional regulator BsrA		1.0
(RefSeq) transcriptional regulator CysB		1.0
(RefSeq) transcriptional regulator FleQ	1.0	1.0
(RefSeq) transcriptional regulator MexT		1.0
(RefSeq) transcriptional regulator MvfR		1.0
(RefSeq) two-component response regulator	1.0
(RefSeq) two-component response regulator PhoB	1.0
(RefSeq) two-component sensor	1.0
(RefSeq) two-component sensor NtrB	1.0
(RefSeq) two-component sensor ParS		1.0
Heparinase hepP	1.0
Transcriptional Regulator	1.0
