SRA.Study.ID,Sample.ID,Medium,Perturbed.Gene,Gene.Function,KEGG.Pathway,Strain,StudyInGeo,GSEID
PRJEB14322,ERX1517774,Medium B,PA1421,(RefSeq) guanidinobutyrase,Arginine and proline metabolism,PAO1,N,NA
PRJEB14322,ERX1517774,Medium B,PA1421,(RefSeq) guanidinobutyrase,Metabolic pathways,PAO1,N,NA
PRJEB14322,ERX1517773,Medium B,None,NA,NA,PAO1,N,NA
PRJEB18543,"ERX1819490, ERX1819489, ERX1819488, ERX1819487, ERX1819486, ERX1819485, ERX1819484, ERX1819483, ERX1819482",NA,PA2492,(RefSeq) transcriptional regulator MexT,NA,PAO1,N,NA
PRJEB18543,"ERX1819481, ERX1819480, ERX1819479",NA,None,NA,NA,PAO1,N,NA
PRJEB21307,"ERX2068558, ERX2068557, ERX2068556",LB,PA2020,(RefSeq) transcriptional regulator,beta-Lactam resistance,PAO1,N,NA
PRJEB21307,"ERX2068561, ERX2068560, ERX2068559",LB,None,NA,NA,PAO1,N,NA
PRJEB36276,"ERX3834797, ERX3834796, ERX3834795, ERX3834794, ERX3834793, ERX3834792",M9 Minimal Media,PA4266,(RefSeq) elongation factor G,NA,PAO1,N,NA
PRJEB36276,"ERX3834791, ERX3834790, ERX3834789",M9 Minimal Media,None,NA,NA,PAO1,N,NA
PRJNA190894,"SRX245814, SRX245815, SRX245816",Other,PA1798,(RefSeq) two-component sensor ParS,beta-Lactam resistance,PAO1,Y,GSE44681
PRJNA190894,"SRX245814, SRX245815, SRX245816",Other,PA1798,(RefSeq) two-component sensor ParS,Cationic antimicrobial peptide (CAMP) resistance,PAO1,Y,GSE44681
PRJNA190894,"SRX245814, SRX245815, SRX245816",Other,PA1798,(RefSeq) two-component sensor ParS,Two-component system,PAO1,Y,GSE44681
PRJNA190894,"SRX245817, SRX245818, SRX245819",Other,PA1799,(RefSeq) two-component response regulator ParR,beta-Lactam resistance,PAO1,Y,GSE44681
PRJNA190894,"SRX245817, SRX245818, SRX245819",Other,PA1799,(RefSeq) two-component response regulator ParR,Cationic antimicrobial peptide (CAMP) resistance,PAO1,Y,GSE44681
PRJNA190894,"SRX245817, SRX245818, SRX245819",Other,PA1799,(RefSeq) two-component response regulator ParR,Two-component system,PAO1,Y,GSE44681
PRJNA190894,"SRX245811, SRX245812, SRX245813",Other,None,NA,NA,PAO1,Y,GSE44681
PRJNA257669,SRX671508,Other,PA5498,(RefSeq) adhesin,ABC transporters,PAO1,Y,GSE60177
PRJNA257669,SRX671507,Other,None,NA,NA,PAO1,Y,GSE60177
PRJNA300924,"SRX1411289, SRX1411288, SRX1411287, SRX1411283, SRX1411282, SRX1411281",LB,PA2799,(RefSeq) hypothetical protein,NA,PAO1,N,NA
PRJNA300924,"SRX1411286, SRX1411285, SRX1411284",LB,PA2824,(RefSeq) sensor/response regulator hybrid protein,Two-component system,PAO1,N,NA
PRJNA300924,"SRX1411286, SRX1411285, SRX1411284",LB,PA2824,(RefSeq) sensor/response regulator hybrid protein,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA300924,"SRX1411280, SRX1411279, SRX1411278",LB,None,NA,NA,PAO1,N,NA
