	0
0	PA14_27660
1	PA14_01770
2	PA14_54750
3	PA14_35730
4	PA14_04830
5	PA14_15450
6	PA14_31240
7	PA14_46570
8	PA14_69540
9	PA14_60240
10	PA14_35840
11	PA14_28980
12	PA14_59470
13	PA14_59980
14	PA14_01130
15	PA14_59310
16	PA14_31250
17	PA14_03330
18	PA14_58990
19	PA14_22130
20	PA14_59020
21	PA14_59900
22	PA14_51950
23	PA14_32850
24	PA14_28820
25	PA14_59050
26	PA14_25410
27	PA14_36860
28	PA14_23380
29	PA14_13860
30	PA14_24360
31	PA14_31930
32	PA14_53590
33	PA14_31200
34	PA14_05120
35	PA14_58980
36	PA14_49510
37	PA14_59920
38	PA14_48490
39	PA14_61180
40	PA14_59800
41	PA14_29330
42	PA14_30860
43	PA14_63450
44	PA14_55090
45	PA14_13920
46	PA14_33320
47	PA14_15490
48	PA14_71830
49	PA14_35740
50	PA14_31230
51	PA14_15460
52	PA14_35970
53	PA14_31060
54	PA14_46510
55	PA14_21560
56	PA14_22140
57	PA14_59850
58	PA14_10080
59	PA14_15590
60	PA14_67210
61	PA14_31110
62	PA14_03390
63	PA14_39700
64	PA14_49520
65	PA14_59750
66	PA14_14310
67	PA14_59290
68	PA14_08110
69	PA14_44230
70	PA14_59700
71	PA14_54610
72	PA14_18070
73	PA14_59370
74	PA14_58920
75	PA14_59640
76	PA14_28610
77	PA14_48470
78	PA14_15620
79	PA14_59350
80	PA14_53580
81	PA14_46610
82	PA14_10300
83	PA14_14400
84	PA14_59690
85	PA14_20530
86	PA14_28250
87	PA14_46590
88	PA14_44090
89	PA14_54970
90	PA14_40820
91	PA14_59720
92	PA14_60040
93	PA14_10120
94	PA14_35930
95	PA14_55240
96	PA14_03360
97	PA14_59560
98	PA14_55020
99	PA14_35750
100	PA14_03300
101	PA14_59845
102	PA14_59410
103	PA14_54980
104	PA14_31000
105	PA14_59500
106	PA14_33350
107	PA14_60110
108	PA14_41290
109	PA14_31030
110	PA14_28840
111	PA14_15570
112	PA14_54870
113	PA14_07480
114	PA14_22520
115	PA14_59320
116	PA14_32810
117	PA14_31160
118	PA14_33340
119	PA14_64260
120	PA14_30850
121	PA14_30690
122	PA14_59440
123	PA14_28970
124	PA14_54850
125	PA14_30900
126	PA14_14540
127	PA14_13210
128	PA14_09460
129	PA14_26200
130	PA14_60140
131	PA14_31190
132	PA14_27690
133	PA14_59010
134	PA14_06900
135	PA14_54860
136	PA14_60080
137	PA14_15610
138	PA14_49020
139	PA14_10830
140	PA14_31340
141	PA14_71760
142	PA14_24665
143	PA14_31270
144	PA14_10400
145	PA14_20060
146	PA14_27675
147	PA14_36480
148	PA14_59100
149	PA14_39910
150	PA14_46550
151	PA14_16510
152	PA14_13970
153	PA14_22280
154	PA14_28260
155	PA14_35950
156	PA14_03380
157	PA14_61350
158	PA14_54890
159	PA14_28520
160	PA14_28580
161	PA14_55000
162	PA14_60100
163	PA14_37670
164	PA14_59830
165	PA14_59650
166	PA14_33300
167	PA14_59270
168	PA14_59860
169	PA14_63420
170	PA14_35780
171	PA14_54460
172	PA14_15360
173	PA14_35940
174	PA14_49540
175	PA14_15630
176	PA14_60090
177	PA14_28330
178	PA14_39480
179	PA14_35720
180	PA14_41300
181	PA14_53100
182	PA14_59990
183	PA14_23430
184	PA14_15520
185	PA14_58900
186	PA14_59570
187	PA14_22080
188	PA14_03163
189	PA14_59030
190	PA14_22270
191	PA14_59000
192	PA14_28360
193	PA14_27680
194	PA14_03290
195	PA14_63440
196	PA14_46620
197	PA14_59870
198	PA14_46530
199	PA14_25560
200	PA14_67960
201	PA14_19930
202	PA14_10980
203	PA14_59120
204	PA14_50000
205	PA14_28780
206	PA14_35700
207	PA14_31180
208	PA14_55060
209	PA14_46540
210	PA14_14420
211	PA14_28830
212	PA14_60130
213	PA14_40740
214	PA14_60060
215	PA14_35900
216	PA14_03340
217	PA14_56970
218	PA14_15445
219	PA14_49990
220	PA14_33200
221	PA14_22230
222	PA14_13630
223	PA14_22190
224	PA14_59760
225	PA14_35860
226	PA14_28230
227	PA14_22210
228	PA14_15480
229	PA14_00970
230	PA14_03320
231	PA14_63740
232	PA14_27700
233	PA14_22120
234	PA14_03350
235	PA14_51560
236	PA14_10410
237	PA14_27650
238	PA14_46580
239	PA14_03166
240	PA14_55080
241	PA14_15380
242	PA14_59430
243	PA14_22880
244	PA14_55070
245	PA14_59710
246	PA14_59660
247	PA14_59840
248	PA14_15500
249	PA14_59190
250	PA14_54920
251	PA14_28800
252	PA14_35880
253	PA14_59060
254	PA14_39880
255	PA14_52120
256	PA14_36010
257	PA14_35770
258	PA14_28460
259	PA14_51580
260	PA14_13220
261	PA14_35810
262	PA14_35790
263	PA14_54900
264	PA14_31100
265	PA14_30880
266	PA14_11730
267	PA14_59590
268	PA14_32840
269	PA14_59110
270	PA14_23440
271	PA14_14560
272	PA14_24190
273	PA14_35820
274	PA14_59480
275	PA14_51530
276	PA14_59200
277	PA14_22180
278	PA14_60000
279	PA14_51520
280	PA14_21260
281	PA14_10050
282	PA14_46600
283	PA14_00410
284	PA14_00520
285	PA14_37170
286	PA14_58760
287	PA14_59210
288	PA14_59340
289	PA14_36940
290	PA14_59770
291	PA14_59580
292	PA14_28540
293	PA14_20520
294	PA14_15600
295	PA14_53450
296	PA14_59890
297	PA14_23310
298	PA14_50750
299	PA14_59680
300	PA14_49480
301	PA14_22090
302	PA14_01160
303	PA14_48900
304	PA14_48500
305	PA14_55050
306	PA14_33330
307	PA14_31280
308	PA14_33970
309	PA14_10070
310	PA14_22220
311	PA14_28790
312	PA14_28750
313	PA14_15435
314	PA14_15650
315	PA14_60010
316	PA14_35710
317	PA14_39670
318	PA14_31130
319	PA14_54720
320	PA14_51550
321	PA14_62030
322	PA14_35760
323	PA14_69350
324	PA14_35990
325	PA14_59790
326	PA14_40470
327	PA14_60120
328	PA14_30870
329	PA14_31050
330	PA14_51570
331	PA14_54880
332	PA14_10960
333	PA14_51540
334	PA14_69370
335	PA14_45260
336	PA14_39925
337	PA14_51200
338	PA14_23390
339	PA14_22100
340	PA14_54050
341	PA14_14550
342	PA14_13960
343	PA14_46520
344	PA14_35830
345	PA14_61340
346	PA14_15750
347	PA14_36020
348	PA14_55030
349	PA14_59240
350	PA14_10090
351	PA14_59510
352	PA14_03250
353	PA14_04010
354	PA14_54930
355	PA14_58970
356	PA14_59670
357	PA14_59150
358	PA14_31220
359	PA14_35800
360	PA14_59180
361	PA14_51650
362	PA14_30960
363	PA14_54940
364	PA14_59280
365	PA14_03370
366	PA14_33360
367	PA14_48450
368	PA14_59930
369	PA14_30940
370	PA14_48460
371	PA14_23350
372	PA14_54910
373	PA14_22260
374	PA14_22510
375	PA14_23410
376	PA14_40340
