"operon-id","operon_name","locus_tag","start","end","strand","gene_name","source_database","pmid"
"operon-1","dnaA-dnaN-recF-gyrB","PA0001",483,2027,1,"dnaA","DOOR",18988623
"operon-1","dnaA-dnaN-recF-gyrB","PA0002",2056,3159,1,"dnaN","DOOR",18988623
"operon-1","dnaA-dnaN-recF-gyrB","PA0003",3169,4278,1,"recF","DOOR",18988623
"operon-1","dnaA-dnaN-recF-gyrB","PA0004",4275,6695,1,"gyrB","DOOR",18988623
"operon-2","PA0006-lptA","PA0005",7018,7791,-1,"lptA","DOOR",18988623
"operon-2","PA0006-lptA","PA0006",7803,8339,-1,"","DOOR",18988623
"operon-3","glyQ-glyS","PA0008",10434,12488,-1,"glyS","DOOR",18988623
"operon-3","glyQ-glyS","PA0009",12488,13435,-1,"glyQ","DOOR",18988623
"operon-4","fmt-PA0017-trkA","PA0016",17366,18739,-1,"trkA","DOOR",18988623
"operon-4","fmt-PA0017-trkA","PA0017",18767,20071,-1,"","DOOR",18988623
"operon-4","fmt-PA0017-trkA","PA0018",20068,21012,-1,"fmt","DOOR",18988623
"operon-5","PA0021-PA0022","PA0021",22872,23960,1,"","DOOR",18988623
"operon-5","PA0021-PA0022","PA0022",24001,24558,1,"","DOOR",18988623
"operon-6","hemF-aroE","PA0024",25736,26653,1,"hemF","DOOR",18988623
"operon-41803","hemF","PA0024",25736,26653,1,"hemF","PseudoCAP",9767567
"operon-6","hemF-aroE","PA0025",26711,27535,1,"aroE","DOOR",18988623
"operon-7","plcB-PA0027-PA0028","PA0026",27646,28632,1,"plcB","DOOR",18988623
"operon-41804","PlcB-PA0027-PA0028","PA0026",27646,28632,1,"plcB","PseudoCAP",15306013
"operon-7","plcB-PA0027-PA0028","PA0027",28613,29899,1,"","DOOR",18988623
"operon-41804","PlcB-PA0027-PA0028","PA0027",28613,29899,1,"","PseudoCAP",15306013
"operon-7","plcB-PA0027-PA0028","PA0028",29896,30498,1,"","DOOR",18988623
"operon-41804","PlcB-PA0027-PA0028","PA0028",29896,30498,1,"","PseudoCAP",15306013
"operon-8","betC-PA0030-PA0029","PA0029",30502,32055,-1,"","DOOR",18988623
"operon-8","betC-PA0030-PA0029","PA0030",32060,32983,-1,"cosX","DOOR",18988623
"operon-8","betC-PA0030-PA0029","PA0031",33000,34511,-1,"betC","DOOR",18988623
"operon-9","PA0034-hptC","PA0033",35905,36270,-1,"hptC","DOOR",18988623
"operon-9","PA0034-hptC","PA0034",36278,36901,-1,"","DOOR",18988623
"operon-10","trpB-trpA","PA0035",37087,37893,-1,"trpA","DOOR",18988623
"operon-41805","trpBA","PA0035",37087,37893,-1,"trpA","PseudoCAP",1904858
"operon-10","trpB-trpA","PA0036",37890,39098,-1,"trpB","DOOR",18988623
"operon-41805","trpBA","PA0036",37890,39098,-1,"trpB","PseudoCAP",1904858
"operon-41806","trpI","PA0037",39202,40089,1,"trpI","PseudoCAP",2107533
"operon-41807","exoT","PA0044",58786,60159,1,"exoT","PseudoCAP",8631719
"operon-11","PA0056-PA0055-PA0054","PA0054",69543,70091,-1,"","DOOR",18988623
"operon-11","PA0056-PA0055-PA0054","PA0055",70130,70636,-1,"","DOOR",18988623
"operon-11","PA0056-PA0055-PA0054","PA0056",70702,71622,-1,"","DOOR",18988623
"operon-12","PA0058-osmC","PA0058",72680,73384,1,"dsbM","DOOR",18988623
"operon-12","PA0058-osmC","PA0059",73468,73923,1,"osmC","DOOR",18988623
"operon-41808","osmC","PA0059",73468,73923,1,"osmC","PseudoCAP",11807066
"operon-13","PA0062-PA0061","PA0061",74279,74716,-1,"","DOOR",18988623
"operon-13","PA0062-PA0061","PA0062",74773,75189,-1,"","DOOR",18988623
"operon-14","PA0066-PA0065-PA0064","PA0064",76416,77399,-1,"","DOOR",18988623
"operon-14","PA0066-PA0065-PA0064","PA0065",77432,78097,-1,"","DOOR",18988623
"operon-14","PA0066-PA0065-PA0064","PA0066",78090,78632,-1,"","DOOR",18988623
"operon-15","prlC-PA0068","PA0067",78710,80755,1,"prlC","DOOR",18988623
"operon-15","prlC-PA0068","PA0068",80752,81027,1,"","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0070",82404,83318,-1,"tagQ1","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0071",83380,85092,-1,"tagR1","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0072",85085,86284,-1,"tagS1","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0073",86284,87003,-1,"tagT1","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0074",87000,90098,-1,"ppkA","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0075",90106,90834,-1,"pppA","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0076",90844,91524,-1,"tagF1","DOOR",18988623
"operon-16","tssM1-tagF1-pppA-ppkA-tagT1-tagS1-tagR1-tagQ1","PA0077",91521,94826,-1,"icmF1","DOOR",18988623
"operon-17","fha1-tssJ1-tssK1-tssL1","PA0078",95048,96397,-1,"tssL1","DOOR",18988623
"operon-17","fha1-tssJ1-tssK1-tssL1","PA0079",96404,97738,-1,"tssK1","DOOR",18988623
"operon-17","fha1-tssJ1-tssK1-tssL1","PA0080",97754,98218,-1,"tssJ1","DOOR",18988623
"operon-17","fha1-tssJ1-tssK1-tssL1","PA0081",98263,99756,-1,"fha1","DOOR",18988623
"operon-41787","fha1","PA0081",98263,99756,-1,"fha1","PseudoCAP",19426209
"operon-18","tssA1-tssB1-tssC1","PA0082",100124,101158,1,"tssA1","DOOR",18988623
"operon-41788","tssA1","PA0082",100124,101158,1,"tssA1","PseudoCAP",19426209
"operon-18","tssA1-tssB1-tssC1","PA0083",101247,101765,1,"tssB1","DOOR",18988623
"operon-18","tssA1-tssB1-tssC1","PA0084",101778,103274,1,"tssC1","DOOR",18988623
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0086",104006,104851,1,"tagJ1","DOOR",18988623
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0087",104853,105362,1,"tssE1","DOOR",18988623
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0088",105359,107218,1,"tssF1","DOOR",18988623
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0089",107182,108228,1,"tssG1","DOOR",18988623
