	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name
PA14_00600	PA0048	0.1874460217499081	1.6198609598353528e-43
PA14_01600	PA0130	0.16943653179870335	9.244762295791018e-36	bauC
PA14_01910	PA0154	0.18653393506808416	4.1898946260856195e-43	pcaG
PA14_01980	PA0159	0.19366673359038022	2.1746652022370575e-46
PA14_02300	PA0182	0.19008208758220085	1.010662514871336e-44
PA14_03100	PA0251	0.1551998819398585	3.2985331859625294e-30
PA14_03170	PA0987	0.16852549275660944	2.169785104970224e-35
PA14_03180	PA0986	0.17767884979536164	3.2995256518067984e-39
PA14_03190	PA0259	0.13605826792354342	1.5572252443671238e-23	tli3
PA14_04180	PA0320	0.1758864606197598	1.917693809938576e-38	carO
PA14_04190	PA0321	0.18647270316769052	4.465132771403939e-43
PA14_04530	PA0346	0.18940354586640054	2.072332501568346e-44
PA14_04560	PA0348	0.13906805817427528	1.5939218147947179e-24
PA14_04780	PA0364	0.198886551325285	7.080857887038558e-49
PA14_04820	PA0367	0.1517840452452167	5.962682792459628e-29
PA14_05820	PA0446	0.16247216011040716	5.5637879903882566e-33
PA14_06080	PA0465	0.1499202016155213	2.8132957614496645e-28	creD
PA14_06250	PA0478	0.06207210989861611	5.510410080651394e-06
PA14_06270	PA0480	0.1677141282791057	4.619994393366463e-35
PA14_06460	PA0495	0.18128409359976505	9.043049945211949e-41
PA14_07300	PA0561	0.17202216169288062	7.996903538145982e-37
PA14_07355	PA0565	0.19793565750954492	2.0345931532609754e-48
PA14_07450	PA0574	0.1904090631854162	7.14342238021303e-45
PA14_07860	PA0603	0.19703994320303692	5.47160936447579e-48	agtA
PA14_07890	PA0605	0.19081030493654613	4.662307718112135e-45	agtC
PA14_09410	PA4216	0.08521588025574046	4.263207853484132e-10	phzG2
PA14_09410	PA4216	0.08521588025574046	4.263207853484132e-10	phzG1
PA14_09610	PA4200	0.13136786239263307	4.909429600372077e-22
PA14_09690	PA4196	0.17440303231345078	8.11318927547319e-38	bfiR
PA14_10420	PA4138	0.18698228412653428	2.6277818907384998e-43	tyrS
PA14_10780	PA4111	0.1959886630634571	1.7366354355160254e-47
PA14_10790	PA4110	0.12400745529239302	8.618491597181754e-20	ampC
PA14_10840	PA3507	0.023861324896799117	0.08090267376959222
PA14_10850	PA4100	0.1431671304312206	6.587879090230855e-26
PA14_10910	PA4096	0.14678244836291648	3.6656185203103035e-27
PA14_10990	PA4092	0.19997762001124664	2.095153306899051e-49	hpaC
PA14_11190	PA4073	0.13898916723060697	1.6931494614523513e-24
PA14_11670	PA4033	0.1790976650840851	8.08417877188252e-40	mucE
PA14_12150	PA3994	0.18447751668325163	3.506787973426039e-42
PA14_12170	PA3991	0.14953296922955717	3.8736697471772778e-28
PA14_12590	PA3964	0.19338796381144824	2.939272287722147e-46
PA14_13490	PA3897	0.17409680375393252	1.09096144027286e-37
PA14_13890	PA3868	0.19405150083463465	1.4337113832755157e-46
PA14_13940	PA3866	0.15558855134547228	2.3629114207523058e-30
PA14_14430	PA3835	0.1263528876562048	1.715696163775797e-20
PA14_15430	PA3867	0.03425032385241768	0.012217011095077276
PA14_15810	PA3759	0.19716247100678214	4.780428228482757e-48
PA14_16750	PA3681	0.169151293192253	1.208168344167483e-35
PA14_17810	PA3593	0.18880022742484884	3.915109194370796e-44
PA14_18040	PA3577	0.1954161782390494	3.2482421209178458e-47
PA14_18080	PA3574	0.19547431034900517	3.0484109350123777e-47	nalD
PA14_18260	PA3561	0.16644360921947526	1.497218880686624e-34	fruK
PA14_19680	PA3432	0.19977946067474991	2.6151693427958165e-49
PA14_19690	PA3431	0.1969901729285401	5.779983677087901e-48
PA14_19960	PA3412	0.1693820110820733	9.730344199087548e-36
PA14_20510	PA2457	0.1952356003600106	3.955936319885369e-47
PA14_21040	PA3325	0.16863187395049348	1.9645318532522487e-35
PA14_21120	PA3318	0.1973696502819791	3.8037413308199433e-48
PA14_21140	PA3316	0.19081305458335165	4.648679782572243e-45
PA14_21580	PA3283	0.1978789468146851	2.1664133307890836e-48
PA14_21590	PA3282	0.17013504543931673	4.790636775120403e-36
PA14_21600	PA3281	0.1660675617491107	2.1166438147741103e-34
PA14_22075	PA3240	0.1421082708579345	1.513990321176884e-25
PA14_22490	PA3223	0.1519071882246098	5.378034652072829e-29	azoR3
PA14_22730	PA3206	0.1888397199614927	3.7556689048243967e-44
PA14_23450	PA3146	0.1896716645346582	1.5609023898809716e-44	wbpK
PA14_23460	PA3145	0.1491221121883009	5.4337536692087165e-28	wbpL
PA14_24350	PA3077	0.11184854429755706	2.2793094301563944e-16	cprR
PA14_26010	PA2940	0.1858530867275898	8.48982019922689e-43
PA14_26090	PA2934	0.1857910998212555	9.052364846443974e-43	cif
PA14_26110	PA2933	0.18896251442685086	3.3000320585374896e-44
PA14_26160	PA2929	0.15378211390407512	1.1056215580182911e-29
PA14_26330	PA2917	0.19336980497253298	2.9974788812542714e-46
PA14_26390	PA2913	0.19622643841392823	1.3381696663649508e-47
PA14_27390	PA2839	0.1917325892576853	1.742153420810995e-45
PA14_27830	PA2808	0.19713272641536342	4.9397813487933066e-48	ptrA
PA14_27840	PA2807	0.12383437529777681	9.696958689984911e-20
PA14_27990	PA2794	0.190221441976755	8.717918866005949e-45
PA14_28100	PA2783	0.1076312023573197	2.9003793967212102e-15	mep72
PA14_28240	PA2772	0.1632664427994304	2.7196704132421838e-33
PA14_28350	PA2764	0.17605672435457323	1.6237695941361356e-38
PA14_28940	PA2723	0.16546409101324583	3.6830167396354597e-34
PA14_28950	PA2722	0.11661013676515604	1.1473541546840302e-17
PA14_29290	PA2693	0.18222003417714672	3.510396556051391e-41
PA14_29460	PA2680	0.18067319476473745	1.6724221985305587e-40
PA14_30560	PA2593	0.15939663499188178	8.593245856868871e-32	qteE
PA14_31010	PA2520	0.10346416003362266	3.2546350180210407e-14	czcA
PA14_31460	PA2558	0.19960225541759877	3.1879799525280753e-49
PA14_31970	PA2522	0.19534908641702362	3.49512245174365e-47	czcC
PA14_31990	PA2521	0.1724970434464696	5.07995296756965e-37	czcB
PA14_32270	PA2505	0.08544635355059162	3.824611440661112e-10	opdT
PA14_32360	PA2497	0.19806959066944654	1.754105793391629e-48
PA14_32370	PA2496	0.15207018208335785	4.690768749676373e-29
PA14_32440	PA2490	0.1995025078872505	3.563667422262326e-49
PA14_32580	PA2479	0.1006896401046377	1.5448597953373335e-13
PA14_32590	PA2478	0.1902319618611463	8.621142515530422e-45
