	offset	gene type	ymin	ymax
0	1	acc	1.0493927990954706	1.7056533107200904
1	2	acc	1.4976468094127622	2.278711221821779
2	3	acc	1.0077914988340049	1.8346173415306337
3	4	acc	1.0816338067981062	1.7472546109815559
4	5	acc	0.9661901985725392	1.8210969189456576
5	6	acc	1.090994099356936	1.9459008197300545
6	7	acc	1.2896403081054344	2.195508621298848
7	8	acc	0.9017081831672675	1.862698219207123
8	9	acc	0.8829875980496078	1.6453314253409652
9	10	acc	0.7072221044449156	1.4695659317362728
10	1	core	0.9301855040728676	0.9951132754301663
11	2	core	0.8734894628401078	0.9507648293842144
12	3	core	0.9174263223798328	0.9992291404924356
13	4	core	0.9260696390105982	0.9919234800069076
14	5	core	0.9187639785250704	1.003345005554705
15	6	core	0.9064163833382622	0.9909974103678969
16	7	core	0.8817211929646463	0.971344154695561
17	8	core	0.9146481134628011	1.0097245964012223
18	9	core	0.9361535084131583	1.0115767356792436
19	10	core	0.953543038301246	1.0289662655673315
20	+10	acc	0.9985336873543588	0.9995096470618201
21	+10	core	0.9997122958401767	0.999812443186548
