	offset	gene type	ymin	ymax
0	1	acc	0.0	0.1665182672602643
1	2	acc	0.0	0.20814783407533038
2	3	acc	0.0	0.1665182672602643
3	4	acc	0.0	0.3236698819871387
4	5	acc	0.0	0.1665182672602643
5	6	acc	0.0	0.1665182672602643
6	7	acc	0.0	0.1665182672602643
7	8	acc	0.0	0.0
8	9	acc	0.0	0.0
9	10	acc	0.009366652533389908	0.20814783407533038
10	1	core	1.0823997982376534	1.0988621525834732
11	2	core	1.0782842096511984	1.0988621525834732
12	3	core	1.0823997982376534	1.0988621525834732
13	4	core	1.066863451323786	1.0988621525834732
14	5	core	1.0823997982376534	1.0988621525834732
15	6	core	1.0823997982376534	1.0988621525834732
16	7	core	1.0823997982376534	1.0988621525834732
17	8	core	1.0988621525834732	1.0988621525834732
18	9	core	1.0988621525834732	1.0988621525834732
19	10	core	1.0782842096511984	1.0979361451515208
20	+10	acc	1.0016371129753576	1.0017700373149754
21	+10	core	0.9990873890369709	0.9992417061107122
