	offset	gene type	ymin	ymax
0	1	acc	0.0	0.38937080505803373
1	2	acc	0.0	0.2862262209367002
2	3	acc	0.0	0.3094337523640004
3	4	acc	0.0	0.0
4	5	acc	0.0	0.41257833648533393
5	6	acc	0.0	0.3094337523640004
6	7	acc	0.0	0.0
7	8	acc	0.0	0.2862262209367002
8	9	acc	0.0	0.5956599733007006
9	10	acc	0.0	0.5157229206066674
10	1	core	1.0230082255881883	1.037679537399739
11	2	core	1.0268946658031686	1.037679537399739
12	3	core	1.026020216754798	1.037679537399739
13	4	core	1.037679537399739	1.037679537399739
14	5	core	1.0221337765398177	1.037679537399739
15	6	core	1.026020216754798	1.037679537399739
16	7	core	1.037679537399739	1.037679537399739
17	8	core	1.0268946658031686	1.037679537399739
18	9	core	1.0152353451582277	1.037679537399739
19	10	core	1.0182473363248374	1.037679537399739
20	+10	acc	1.0015767339122403	1.001865620490606
21	+10	core	0.9990956981530635	0.9992324095676863
