	offset	gene type	ymin	ymax
0	1	acc	1.3640871250046354	3.071129992212704
1	2	acc	1.0546533726406349	2.864840823970037
2	3	acc	1.3640871250046354	2.9679854080913706
3	4	acc	1.5935838246746024	3.586852912819371
4	5	acc	1.2841500723106019	3.2542116290280707
5	6	acc	1.9597470983053358	3.7931420810620384
6	7	acc	1.0546533726406349	2.864840823970037
7	8	acc	1.547168761820002	3.5069158601253383
8	9	acc	1.3872946564319355	3.2310040976007706
9	10	acc	1.1577979567619683	2.9447778766640704
10	1	core	0.9219607799987005	0.9862813655566245
11	2	core	0.9297336604286612	0.9979406862015654
12	3	core	0.9258472202136809	0.9862813655566245
13	4	core	0.9025285789237991	0.9776340360782932
14	5	core	0.9150623486171107	0.9892933567232343
15	6	core	0.8947556984938385	0.9638371733151133
16	7	core	0.9297336604286612	0.9979406862015654
17	8	core	0.9055405700904089	0.9793829341750344
18	9	core	0.9159367976654812	0.9854069165082538
19	10	core	0.9267216692620515	0.994054245986585
20	+10	acc	0.9957725288160393	0.9986860103370816
21	+10	core	0.9997290822070116	0.9998583735448551
