	enriched KEGG pathway	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	1.0	0	202	10	1.0
1	KEGG-Pathway-pae00071: Fatty acid degradation	0.32806093933301367	2	202	32	1.0
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	0.29300019101395913	1	202	9	1.0
3	KEGG-Pathway-pae00380: Tryptophan metabolism	0.6333245273133172	1	202	27	1.0
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	1.0	0	202	16	1.0
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	0.08422515383969831	2	202	14	1.0
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	0.8437215116546741	1	202	49	1.0
7	KEGG-Pathway-pae00780: Biotin metabolism	0.18703472914715352	2	202	21	1.0
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	1.0	0	202	5	1.0
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	1.0	0	202	7	1.0
10	KEGG-Pathway-pae00363: Bisphenol degradation	1.0	0	202	5	1.0
11	KEGG-Pathway-pae00362: Benzoate degradation	0.11022682780174226	3	202	31	1.0
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	1.0	0	202	5	1.0
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	0.24315835358267796	2	202	26	1.0
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	0.23633300457305415	1	202	7	1.0
15	KEGG-Pathway-pae02040: Flagellar assembly	1.0	0	202	35	1.0
16	KEGG-Pathway-pae00480: Glutathione metabolism	0.6472393207544602	1	202	27	1.0
17	KEGG-Pathway-pae00670: One carbon pool by folate	1.0	0	202	18	1.0
18	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism	1.0	0	202	11	1.0
19	KEGG-Pathway-pae00930: Caprolactam degradation	0.2652099669606371	1	202	8	1.0
20	KEGG-Pathway-pae00561: Glycerolipid metabolism	0.3940853195381228	1	202	13	1.0
21	KEGG-Pathway-pae00562: Inositol phosphate metabolism	0.23633300457305415	1	202	7	1.0
22	KEGG-Pathway-pae00564: Glycerophospholipid metabolism	1.0	0	202	27	1.0
23	KEGG-Pathway-pae03440: Homologous recombination	1.0	0	202	23	1.0
24	KEGG-Pathway-pae00270: Cysteine and methionine metabolism	1.0	0	202	33	1.0
25	KEGG-Pathway-pae00051: Fructose and mannose metabolism	0.4807787884559287	1	202	18	1.0
26	KEGG-Pathway-pae00052: Galactose metabolism	1.0	0	202	5	1.0
27	KEGG-Pathway-pae00190: Oxidative phosphorylation	1.0	0	202	55	1.0
28	KEGG-Pathway-pae00521: Streptomycin biosynthesis	1.0	0	202	8	1.0
29	KEGG-Pathway-pae02030: Bacterial chemotaxis	1.0	0	202	45	1.0
30	KEGG-Pathway-pae00590: Arachidonic acid metabolism	1.0	0	202	6	1.0
31	KEGG-Pathway-pae00920: Sulfur metabolism	0.8437215116546741	1	202	51	1.0
32	KEGG-Pathway-pae03070: Bacterial secretion system	0.9658458576433008	1	202	92	1.0
33	KEGG-Pathway-pae00450: Selenocompound metabolism	1.0	0	202	10	1.0
34	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation	0.25086609534160437	3	202	47	1.0
35	KEGG-Pathway-pae00281: Geraniol degradation	0.6038354696548147	1	202	24	1.0
36	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism	1.0	0	202	19	1.0
37	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)	1.0	0	202	34	1.0
38	KEGG-Pathway-pae03060: Protein export	1.0	0	202	18	1.0
39	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis	1.0	0	202	20	1.0
40	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism	1.0	0	202	32	1.0
41	KEGG-Pathway-pae00750: Vitamin B6 metabolism	1.0	0	202	9	1.0
42	KEGG-Pathway-pae00500: Starch and sucrose metabolism	1.0	0	202	18	1.0
43	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis	1.0	0	202	21	1.0
44	KEGG-Pathway-pae00350: Tyrosine metabolism	0.2715398978771848	2	202	27	1.0
45	KEGG-Pathway-pae04122: Sulfur relay system	1.0	0	202	18	1.0
46	KEGG-Pathway-pae00230: Purine metabolism	0.7885579307274135	2	202	77	1.0
47	KEGG-Pathway-pae00030: Pentose phosphate pathway	1.0	0	202	25	1.0
48	KEGG-Pathway-pae00330: Arginine and proline metabolism	0.7488336462719447	2	202	71	1.0
49	KEGG-Pathway-pae03018: RNA degradation	1.0	0	202	15	1.0
50	KEGG-Pathway-pae03010: Ribosome	1.0	0	202	68	1.0
51	KEGG-Pathway-pae00620: Pyruvate metabolism	0.18995889403019356	4	202	60	1.0
52	KEGG-Pathway-pae00627: Aminobenzoate degradation	1.0	0	202	19	1.0
53	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation	0.3197443785456053	1	202	10	1.0
54	KEGG-Pathway-pae00740: Riboflavin metabolism	1.0	0	202	9	1.0
55	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides	1.0	0	202	6	1.0
56	KEGG-Pathway-pae03410: Base excision repair	1.0	0	202	14	1.0
57	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism	1.0	0	202	9	1.0
58	KEGG-Pathway-pae00340: Histidine metabolism	0.571987495233917	1	202	24	1.0
59	KEGG-Pathway-pae00240: Pyrimidine metabolism	1.0	0	202	44	1.0
