Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quorum_sensing_status,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,,,,
SRR2007328,RNA-Seq,51,1169084577,PRJNA283002,SAMN03581445,793785193,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017133,{delta}anr,GSM1674727,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,Quorum sensing intact,2015-06-29T00:00:00Z,GSM1674727,PAO1 ?anr replicate 1,SRP057994,Laboratory strain,,,,
SRR2007326,RNA-Seq,51,1288533054,PRJNA283002,SAMN03581443,872408034,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017131,WT,GSM1674725,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,Quorum sensing intact,2015-06-29T00:00:00Z,GSM1674725,PAO1 WT replicate 1,SRP057994,Laboratory strain,,,,
SRR2007327,RNA-Seq,51,1260012018,PRJNA283002,SAMN03581444,854542477,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017132,WT,GSM1674726,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,Quorum sensing intact,2015-06-29T00:00:00Z,GSM1674726,PAO1 WT replicate 2,SRP057994,Laboratory strain,,,,
SRR2007329,RNA-Seq,51,1420297980,PRJNA283002,SAMN03581446,961923925,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017134,{delta}anr,GSM1674728,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,Quorum sensing intact,2015-06-29T00:00:00Z,GSM1674728,PAO1 ?anr replicate 2,SRP057994,Laboratory strain,,,,
SRR2007330,RNA-Seq,51,1145485806,PRJNA283002,SAMN03581447,767324096,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017135,WT,GSM1674729,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,Naturally-occuring LasR-defective variant,2015-06-29T00:00:00Z,GSM1674729,J215 WT replicate 1,SRP057994,"J215\, Cystic fibrosis clinical isolate",,,,
SRR2007331,RNA-Seq,51,1263326865,PRJNA283002,SAMN03581448,848253730,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017136,WT,GSM1674730,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,Naturally-occuring LasR-defective variant,2015-06-29T00:00:00Z,GSM1674730,J215 WT replicate 2,SRP057994,"J215\, Cystic fibrosis clinical isolate",,,,
SRR2007332,RNA-Seq,51,1341866202,PRJNA283002,SAMN03581449,899629553,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017137,{delta}anr,GSM1674731,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,Naturally-occuring LasR-defective variant,2015-06-29T00:00:00Z,GSM1674731,J215 ?anr replicate 1,SRP057994,"J215\, Cystic fibrosis clinical isolate",,,,
SRR2007333,RNA-Seq,51,1097105574,PRJNA283002,SAMN03581450,736848443,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1017138,{delta}anr,GSM1674732,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,Naturally-occuring LasR-defective variant,2015-06-29T00:00:00Z,GSM1674732,J215 ?anr replicate 2,SRP057994,"J215\, Cystic fibrosis clinical isolate",,,,
SRR13255775,RNA-Seq,202,4324619616,PRJNA685418,SAMN17084553,1310146698,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686725,wild type,GSM4975544,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-22T00:00:00Z,GSM4975544,PAO_bacterial total RNA,SRP298021,PAO1,none (control),,,
SRR13255776,RNA-Seq,202,3548217466,PRJNA685418,SAMN17084552,1080846279,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686726,wild type,GSM4975545,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-22T00:00:00Z,GSM4975545,PAO_bacterial total RNA,SRP298021,PAO1,none (control),,,
