	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value	-log10 adj p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	2.119047619047619	0.4009977702758307	1	267	10	1.0	-0.0
1	KEGG-Pathway-pae00071: Fatty acid degradation	2.0511363636363638	0.19970009661572646	3	267	32	1.0	-0.0
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	0.0	1.0	0	267	9	1.0	-0.0
3	KEGG-Pathway-pae00380: Tryptophan metabolism	0.7604511278195488	0.7367170419332153	1	267	27	1.0	-0.0
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	1.2699248120300752	0.5597695219407147	1	267	16	1.0	-0.0
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	3.479245283018868	0.13488404188203673	2	267	14	1.0	-0.0
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	0.4027355623100304	0.9153283754291022	1	267	49	1.0	-0.0
7	KEGG-Pathway-pae00780: Biotin metabolism	2.011122144985104	0.28235982272090276	2	267	21	1.0	-0.0
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	4.772556390977444	0.2259524636018299	1	267	5	1.0	-0.0
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	7.663396226415094	0.044137502923275715	2	267	7	1.0	-0.0
10	KEGG-Pathway-pae00363: Bisphenol degradation	4.772556390977444	0.2259524636018299	1	267	5	1.0	-0.0
11	KEGG-Pathway-pae00362: Benzoate degradation	8.023255813953488	1.2854207454436041e-05	9	267	31	0.0010861805298998455	2.9640979863278183
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	0.0	1.0	0	267	5	1.0	-0.0
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	3.665399239543726	0.033547379937120064	4	267	26	0.9449178682288818	0.024605938501448644
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	3.180451127819549	0.3013739330176047	1	267	7	1.0	-0.0
