pathway_id_name	pathway_name	num_genes	gene_ids
path:pae00010 : Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	37	['PA3193', 'PA4732', 'PA5110', 'PA0555', 'PA4748', 'PA3195', 'PA3001', 'PA0552', 'PA5131', 'PA3635', 'PA1498', 'PA4329', 'PA1770', 'PA5015', 'PA5016', 'PA4152', 'PA2250', 'PA4829', 'PA1587', 'PA3629', 'PA5427', 'PA2275', 'PA1982', 'PA2266', 'PA1027', 'PA4899', 'PA1984', 'PA4022', 'PA0887', 'PA4733', 'PA2555', 'PA1017', 'PA4978', 'PA5322', 'PA5422', 'PA2323', 'PA5192']
path:pae00020 : Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	28	['PA1580', 'PA1562', 'PA1787', 'PA2623', 'PA2624', 'PA1585', 'PA1586', 'PA2250', 'PA4829', 'PA1587', 'PA1589', 'PA1588', 'PA5445', 'PA1583', 'PA1584', 'PA1581', 'PA1582', 'PA4333', 'PA0854', 'PA4470', 'PA3452', 'PA4640', 'PA5436', 'PA5435', 'PA5192', 'PA5015', 'PA5016', 'PA4152']
path:pae00030 : Pentose phosphate pathway	Pentose phosphate pathway	28	['PA4732', 'PA5439', 'PA3183', 'PA3182', 'PA4204', 'PA0607', 'PA0548', 'PA2796', 'PA0330', 'PA1950', 'PA5322', 'PA3373', 'PA4670', 'PA3194', 'PA3181', 'PA3131', 'PA2323', 'PA2290', 'PA2265', 'PA2264', 'PA3896', 'PA2261', 'PA2263', 'PA2321', 'PA1499', 'PA0849', 'PA0555', 'PA5110']
path:pae00040 : Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	8	['PA2022', 'PA3559', 'PA2023', 'PA0607', 'PA2343', 'PA1253', 'PA2217', 'PA0224']
path:pae00051 : Fructose and mannose metabolism	Fructose and mannose metabolism	19	['PA2344', 'PA3551', 'PA2232', 'PA5452', 'PA5322', 'PA5453', 'PA0224', 'PA5110', 'PA3561', 'PA2342', 'PA3540', 'PA3541', 'PA3542', 'PA3545', 'PA3547', 'PA0555', 'PA4748', 'PA5454', 'PA3560']
path:pae00052 : Galactose metabolism	Galactose metabolism	5	['PA4068', 'PA1384', 'PA2023', 'PA5322', 'PA3193']
path:pae00053 : Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	7	['PA2022', 'PA3559', 'PA1027', 'PA4899', 'PA2215', 'PA1253', 'PA2217']
path:pae00061 : Fatty acid biosynthesis	Fatty acid biosynthesis	28	['PA3639', 'PA4847', 'PA0493', 'PA4848', 'PA0494', 'PA3112', 'PA2968', 'PA3333', 'PA5174', 'PA1609', 'PA0098', 'PA2965', 'PA1373', 'PA5524', 'PA1470', 'PA4389', 'PA2967', 'PA4786', 'PA4089', 'PA0182', 'PA1827', 'PA1610', 'PA3645', 'PA1806', 'PA2950', 'PA3299', 'PA3300', 'PA1617']
path:pae00071 : Fatty acid degradation	Fatty acid degradation	34	['PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA2940', 'PA3013', 'PA3454', 'PA3014', 'PA1737', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA2552', 'PA2550', 'PA0879', 'PA1535', 'PA4994', 'PA4979', 'PA3593', 'PA2815', 'PA0447', 'PA3299', 'PA3300', 'PA1617', 'PA1525', 'PA2574', 'PA5349', 'PA3629', 'PA5427', 'PA1027', 'PA4899']
path:pae00130 : Ubiquinone and other terpenoid-quinone biosynthesis	Ubiquinone and other terpenoid-quinone biosynthesis	19	['PA0968', 'PA5357', 'PA5358', 'PA5237', 'PA4019', 'PA5221', 'PA3171', 'PA5223', 'PA5063', 'PA0655', 'PA4231', 'PA1618', 'PA1225', 'PA4975', 'PA1224', 'PA0853', 'PA0949', 'PA0865', 'PA0242']
