	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	1.1247685185185186	0.6105799951338774	1	481	10	1.0
1	KEGG-Pathway-pae00071: Fatty acid degradation	0.3359722222222222	0.9465839535402353	1	481	32	1.0
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	1.265625	0.5720307005571365	1	481	9	1.0
3	KEGG-Pathway-pae00380: Tryptophan metabolism	0.8427279053583855	0.6926938715731236	2	481	27	1.0
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	3.3934311670160726	0.04917170395107283	4	481	16	0.36627669879663954
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	0.8430555555555556	0.7066494837984277	1	481	14	1.0
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	1.1786691420754347	0.43573172391564374	5	481	49	1.0
7	KEGG-Pathway-pae00780: Biotin metabolism	1.0655971871222942	0.5753826911589623	2	481	21	1.0
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	0.0	1.0	0	481	5	1.0
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	4.060960334029228	0.12519895136916354	2	481	7	0.6612069619183949
10	KEGG-Pathway-pae00363: Bisphenol degradation	6.771050800278358	0.06719537804244853	2	481	5	0.4330769354976102
11	KEGG-Pathway-pae00362: Benzoate degradation	1.9562055591467356	0.14067562774198833	5	481	31	0.7204297299513948
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	0.0	1.0	0	481	5	1.0
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	1.3824648155192087	0.3932672013337009	3	481	26	1.0
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	0.0	1.0	0	481	7	1.0
15	KEGG-Pathway-pae02040: Flagellar assembly	0.0	1.0	0	481	35	1.0
16	KEGG-Pathway-pae00480: Glutathione metabolism	0.38798076923076924	0.9219667738887518	1	481	27	1.0
17	KEGG-Pathway-pae00670: One carbon pool by folate	2.9074573225516622	0.07175239168007744	4	481	18	0.4330769354976102
18	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism	0.0	1.0	0	481	11	1.0
19	KEGG-Pathway-pae00930: Caprolactam degradation	3.383437717466945	0.15736092582900185	2	481	8	0.738722124030592
20	KEGG-Pathway-pae00561: Glycerolipid metabolism	0.8430555555555556	0.7066494837984277	1	481	13	1.0
