	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	3.261035978565961	0.2103118793691216	9	3928	10	0.43981834815006354
1	KEGG-Pathway-pae00071: Fatty acid degradation	0.7584079856667519	0.8235568728820203	21	3928	32	0.9532952843634345
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	2.8979591836734695	0.26405573502202745	8	3928	9	0.49583799131914036
3	KEGG-Pathway-pae00380: Tryptophan metabolism	1.2069259638348686	0.44184495588929495	20	3928	27	0.6788345231390077
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	5.443393815486838	0.04830815605259099	15	3928	16	0.29157422760313845
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	0.8135366164837969	0.7532054926336051	9	3928	14	0.9224038279353571
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	1.3783547557840616	0.2336489728051141	38	3928	49	0.4677098449242402
7	KEGG-Pathway-pae00780: Biotin metabolism	1.5398235745333675	0.30735550600351325	17	3928	21	0.5410737553603514
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	1.4475025484199797	0.5998016123865448	4	3928	5	0.8110920996863185
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	2.1723610402855686	0.4066420850341368	6	3928	7	0.6378356042055838
10	KEGG-Pathway-pae00363: Bisphenol degradation	0.5422929936305733	0.8793868608897699	3	3928	5	0.9633478932190308
11	KEGG-Pathway-pae00362: Benzoate degradation	5.277122339061298	0.004995691019629049	29	3928	31	0.07994120190198158
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	1.4475025484199797	0.5998016123865448	4	3928	5	0.8110920996863185
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	2.6622290493258234	0.06979666272460432	22	3928	26	0.3100963084835918
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	2.1723610402855686	0.4066420850341368	6	3928	7	0.6378356042055838
15	KEGG-Pathway-pae02040: Flagellar assembly	0.7880029806259314	0.8034868967237733	24	3928	35	0.9515387677088407
16	KEGG-Pathway-pae00480: Glutathione metabolism	0.8584996162701458	0.7262347449074882	19	3928	27	0.9108253353247241
17	KEGG-Pathway-pae00670: One carbon pool by folate	6.1723344413193555	0.02877706904381571	17	3928	18	0.21144889862629804
18	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism	3.624298111281266	0.16646764841235762	10	3928	11	0.41989600868191695
19	KEGG-Pathway-pae00930: Caprolactam degradation	2.535067584799796	0.3291167317514717	7	3928	8	0.561825531979785
20	KEGG-Pathway-pae00561: Glycerolipid metabolism	1.2063978220180365	0.5317933918253488	10	3928	13	0.7815050714650777
21	KEGG-Pathway-pae00562: Inositol phosphate metabolism	2.1723610402855686	0.4066420850341368	6	3928	7	0.6378356042055838
22	KEGG-Pathway-pae00564: Glycerophospholipid metabolism	1.0337768679631525	0.569900211212514	20	3928	27	0.8110920996863185
23	KEGG-Pathway-pae03440: Homologous recombination	3.813539800358331	0.03466274197755564	21	3928	23	0.22530782285411163
24	KEGG-Pathway-pae00270: Cysteine and methionine metabolism	1.8870322911327524	0.13003375618219998	26	3928	33	0.39417493960275046
25	KEGG-Pathway-pae00051: Fructose and mannose metabolism	0.6622840609309846	0.861532157783955	11	3928	18	0.9633478932190308
26	KEGG-Pathway-pae00052: Galactose metabolism	inf	0.29068271087198877	4	3928	5	0.5282298724447968
27	KEGG-Pathway-pae00190: Oxidative phosphorylation	2.4989690721649485	0.010572598484874053	48	3928	55	0.12588593394040873
28	KEGG-Pathway-pae00521: Streptomycin biosynthesis	inf	0.08440491236831493	8	3928	8	0.3100963084835918
29	KEGG-Pathway-pae02030: Bacterial chemotaxis	0.7213955874807594	0.8835439257334307	30	3928	45	0.9633478932190308
30	KEGG-Pathway-pae00590: Arachidonic acid metabolism	0.7232415902140673	0.8051481880613267	4	3928	6	0.9515387677088407
31	KEGG-Pathway-pae00920: Sulfur metabolism	0.9737398486435219	0.6060768366639335	35	3928	51	0.8129125825095616
32	KEGG-Pathway-pae03070: Bacterial secretion system	2.5290286037949588	0.0012419902746071548	76	3928	92	0.02998519377265845
33	KEGG-Pathway-pae00450: Selenocompound metabolism	0.8438323556915753	0.7383613665058415	7	3928	10	0.9108253353247241
34	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation	1.4918758388303492	0.18201399626648945	37	3928	47	0.4394337909862388
35	KEGG-Pathway-pae00281: Geraniol degradation	0.7223926380368099	0.8381200936796807	16	3928	24	0.9633478932190308
36	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism	0.5672708705642073	0.9223364888325016	11	3928	19	0.9634933439367782
37	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)	inf	2.654621087178791e-05	34	3928	34	0.0014954365457773855
38	KEGG-Pathway-pae03060: Protein export	5.807770961145194	0.03733401937024068	16	3928	18	0.2336833064285435
39	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis	0.7830991911451681	0.780192716935636	13	3928	20	0.941804065443732
40	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism	2.451871315047424	0.05692739093336653	27	3928	32	0.30979867651882664
41	KEGG-Pathway-pae00750: Vitamin B6 metabolism	inf	0.06194855953576884	9	3928	9	0.30979867651882664
42	KEGG-Pathway-pae00500: Starch and sucrose metabolism	2.901840490797546	0.10578962198209474	16	3928	18	0.356841941661706
43	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis	2.054547004176255	0.18057872174521516	17	3928	21	0.4394337909862388
44	KEGG-Pathway-pae00350: Tyrosine metabolism	4.5445810914681015	0.01340796929542815	25	3928	27	0.12588593394040873
45	KEGG-Pathway-pae04122: Sulfur relay system	0.9403831417624521	0.6621709095823406	13	3928	18	0.8674952226311283
46	KEGG-Pathway-pae00230: Purine metabolism	1.4785966727006292	0.1076860297322308	61	3928	77	0.356841941661706
47	KEGG-Pathway-pae00030: Pentose phosphate pathway	0.6416723471938196	0.8997517100392025	16	3928	25	0.9634933439367782
48	KEGG-Pathway-pae00330: Arginine and proline metabolism	1.5948174790851102	0.07902894477415427	57	3928	71	0.3100963084835918
49	KEGG-Pathway-pae03018: RNA degradation	4.715197956577267	0.08015221824753592	13	3928	15	0.3100963084835918
50	KEGG-Pathway-pae03010: Ribosome	19.79349509550852	8.058898595744524e-07	54	3928	68	6.809769313404123e-05
51	KEGG-Pathway-pae00620: Pyruvate metabolism	1.8192367199587416	0.0501725186553627	50	3928	60	0.29238467768125165
52	KEGG-Pathway-pae00627: Aminobenzoate degradation	0.7226762002042901	0.8228384925791165	12	3928	19	0.9532952843634345
53	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation	1.4479591836734693	0.47903115763856785	8	3928	10	0.7293357264947564
54	KEGG-Pathway-pae00740: Riboflavin metabolism	2.8979591836734695	0.26405573502202745	8	3928	9	0.49583799131914036
55	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides	inf	0.15665791768346005	6	3928	6	0.41989600868191695
56	KEGG-Pathway-pae03410: Base excision repair	2.1741573033707864	0.23800619327505718	12	3928	14	0.4677098449242402
57	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism	1.2666411629686305	0.556830220295315	7	3928	9	0.804310318204344
58	KEGG-Pathway-pae00340: Histidine metabolism	inf	0.0011039995475786374	22	3928	24	0.02998519377265845
59	KEGG-Pathway-pae00240: Pyrimidine metabolism	2.8400102854204166	0.0120833068509614	39	3928	44	0.12588593394040873
60	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism	inf	0.21340298549293024	5	3928	5	0.43981834815006354
61	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis	4.5445810914681015	0.01340796929542815	25	3928	90	0.12588593394040873
62	KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism	0.8184215031672659	0.7925908092773524	34	3928	50	0.9499847288501598
63	KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids	1.9924687260658667	0.2870221582394399	11	3928	13	0.5272472254615798
64	KEGG-Pathway-pae00730: Thiamine metabolism	3.261035978565961	0.2103118793691216	9	3928	10	0.43981834815006354
65	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism	0.8131074168797954	0.7659914298169627	18	3928	32	0.9313133211443647
66	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis	inf	0.21340298549293024	5	3928	5	0.43981834815006354
67	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis	0.541592242919112	0.9245842294009937	9	3928	16	0.9634933439367782
68	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis	1.6680153649167733	0.20601075024297139	23	3928	30	0.43981834815006354
69	KEGG-Pathway-pae00401: Novobiocin biosynthesis	inf	0.21340298549293024	5	3928	5	0.43981834815006354
70	KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism	1.268076923076923	0.3531978046673635	28	3928	36	0.585200284203769
71	KEGG-Pathway-pae00312: beta-Lactam resistance	0.6133214011761697	0.9230135623906583	17	3928	27	0.9634933439367782
72	KEGG-Pathway-pae00310: Lysine degradation	2.901840490797546	0.10578962198209474	16	3928	18	0.356841941661706
73	KEGG-Pathway-pae03030: DNA replication	5.079202861522739	0.06232636095645033	14	3928	15	0.30979867651882664
74	KEGG-Pathway-pae00680: Methane metabolism	1.8129477993858751	0.19511733493234507	20	3928	25	0.43981834815006354
75	KEGG-Pathway-pae01220: Degradation of aromatic compounds	9.46181445412609	0.0025331127583445674	26	3928	27	0.047566228462247985
76	KEGG-Pathway-pae00640: Propanoate metabolism	1.6068770849371312	0.169916424387317	31	3928	39	0.42229229002142016
77	KEGG-Pathway-pae00410: beta-Alanine metabolism	0.6014140897861828	0.9219913835223777	15	3928	25	0.9634933439367782
78	KEGG-Pathway-pae00643: Styrene degradation	3.624298111281266	0.16646764841235762	10	3928	12	0.41989600868191695
79	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis	6.902020977232029	0.016978818519942984	19	3928	20	0.151022122624756
80	KEGG-Pathway-pae03430: Mismatch repair	6.1723344413193555	0.02877706904381571	17	3928	18	0.21144889862629804
81	KEGG-Pathway-pae00300: Lysine biosynthesis	2.71978021978022	0.13061418117014217	15	3928	17	0.39417493960275046
82	KEGG-Pathway-pae01212: Fatty acid metabolism	1.152418093080821	0.41437100160068807	35	3928	47	0.6424651309221677
83	KEGG-Pathway-pae00061: Fatty acid biosynthesis	1.7218598106932719	0.22833131068050733	19	3928	23	0.46491556030127396
84	KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism	1.8160801438479321	0.09588502695741369	35	3928	42	0.34477807565538116
85	KEGG-Pathway-pae00910: Nitrogen metabolism	0.8871851040525739	0.7047300657465029	27	3928	38	0.9022680387209014
86	KEGG-Pathway-pae03420: Nucleotide excision repair	inf	0.08440491236831493	8	3928	8	0.3100963084835918
87	KEGG-Pathway-pae00650: Butanoate metabolism	2.6195272353545733	0.021869109101615568	36	3928	42	0.18479397190865154
88	KEGG-Pathway-pae00460: Cyanoamino acid metabolism	1.6293697371778515	0.4076109186639234	9	3928	11	0.6378356042055838
89	KEGG-Pathway-pae00790: Folate biosynthesis	1.0251001448904797	0.5869872133310734	17	3928	23	0.8110920996863185
90	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis	inf	0.002052961786459232	20	3928	20	0.04336881773895127
91	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis	1.8760157386023437	0.10308205162020964	31	3928	37	0.356841941661706
92	KEGG-Module-M00193: Putative spermidine/putrescine transport system	0.5055853098699311	0.9292864796549991	7	3928	12	0.9634933439367782
93	KEGG-Module-M00190: Iron(III) transport system	inf	0.21340298549293024	5	3928	5	0.43981834815006354
94	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	0.4818212708120965	0.9142205409958889	4	3928	7	0.9634933439367782
95	KEGG-Module-M00210: Putative ABC transport system	inf	0.15665791768346005	6	3928	6	0.41989600868191695
96	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	inf	0.15665791768346005	6	3928	6	0.41989600868191695
97	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	0.8438323556915753	0.7383613665058415	7	3928	10	0.9108253353247241
98	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	1.9924687260658667	0.2870221582394399	11	3928	13	0.5272472254615798
99	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.6024301130087518	0.8635535541421221	5	3928	8	0.9633478932190308
100	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	inf	0.21340298549293024	5	3928	5	0.43981834815006354
101	KEGG-Module-M00185: Sulfate transport system	0.5422929936305733	0.8793868608897699	3	3928	5	0.9633478932190308
102	KEGG-Module-M00616: Sulfate-sulfur assimilation	0.964625850340136	0.6694851282208889	8	3928	12	0.8703306666871555
103	KEGG-Module-M00349: Microcin C transport system	inf	0.06194855953576884	9	3928	9	0.30979867651882664
104	KEGG-Module-M00188: NitT/TauT family transport system	inf	0.11499388978992275	7	3928	13	0.35988828471290635
105	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	inf	0.03336335600199293	11	3928	11	0.22530782285411163
106	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	0.12013924265579895	0.9994321927388444	2	3928	8	0.9994321927388444
107	KEGG-Module-M00299: Spermidine/putrescine transport system	inf	0.08440491236831493	8	3928	12	0.3100963084835918
108	KEGG-Module-M00222: Phosphate transport system	0.5422929936305733	0.8793868608897699	3	3928	5	0.9633478932190308
109	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2.8979591836734695	0.26405573502202745	8	3928	9	0.49583799131914036
110	KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	1.8098394086158551	0.4971283245557825	5	3928	6	0.7369709372800635
111	KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	0.5422929936305733	0.8793868608897699	3	3928	5	0.9633478932190308
112	KEGG-Module-M00334: Type VI secretion system	3.368607041891545	0.007331262890657172	37	3928	45	0.10324861904342184
113	KEGG-Module-M00335: Sec (secretion) system	inf	0.03336335600199293	11	3928	11	0.22530782285411163
114	KEGG-Module-M00332: Type III secretion system	0.7226762002042901	0.8228384925791165	12	3928	18	0.9532952843634345
115	KEGG-Module-M00331: Type II general secretion pathway	11.295868616884784	0.0006263999103614537	31	3928	33	0.026465396212771417
116	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	1.0854156042835288	0.6392181448923653	6	3928	8	0.843967706928201
117	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	1.2666411629686305	0.556830220295315	7	3928	9	0.804310318204344
