	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	2.6739697443922794	0.33545246413689117	1	214	10	1.0
1	KEGG-Pathway-pae00071: Fatty acid degradation	1.661027976577749	0.3538115678419199	2	214	32	1.0
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	0.0	1.0	0	214	9	1.0
3	KEGG-Pathway-pae00380: Tryptophan metabolism	0.9596244131455399	0.6549668406410372	1	214	27	1.0
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	1.6025039123630673	0.480149147543924	1	214	16	1.0
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	0.0	1.0	0	214	14	1.0
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	0.5082409349715313	0.8603577545217131	1	214	49	1.0
7	KEGG-Pathway-pae00780: Biotin metabolism	0.0	1.0	0	214	21	1.0
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	0.0	1.0	0	214	5	1.0
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	0.0	1.0	0	214	7	1.0
10	KEGG-Pathway-pae00363: Bisphenol degradation	6.022300469483568	0.18472261733955994	1	214	5	1.0
11	KEGG-Pathway-pae00362: Benzoate degradation	0.798904538341158	0.7189886748212782	1	214	31	1.0
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	0.0	1.0	0	214	5	1.0
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	0.9998043818466353	0.6405173110723565	1	214	26	1.0
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	0.0	1.0	0	214	7	1.0
15	KEGG-Pathway-pae02040: Flagellar assembly	0.0	1.0	0	214	35	1.0
16	KEGG-Pathway-pae00480: Glutathione metabolism	0.0	1.0	0	214	27	1.0
17	KEGG-Pathway-pae00670: One carbon pool by folate	0.0	1.0	0	214	18	1.0
18	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism	0.0	1.0	0	214	11	1.0
19	KEGG-Pathway-pae00930: Caprolactam degradation	0.0	1.0	0	214	8	1.0
20	KEGG-Pathway-pae00561: Glycerolipid metabolism	0.0	1.0	0	214	13	1.0
21	KEGG-Pathway-pae00562: Inositol phosphate metabolism	0.0	1.0	0	214	7	1.0
22	KEGG-Pathway-pae00564: Glycerophospholipid metabolism	0.0	1.0	0	214	27	1.0
23	KEGG-Pathway-pae03440: Homologous recombination	0.0	1.0	0	214	23	1.0
24	KEGG-Pathway-pae00270: Cysteine and methionine metabolism	1.661027976577749	0.3538115678419199	2	214	33	1.0
25	KEGG-Pathway-pae00051: Fructose and mannose metabolism	3.220125786163522	0.14638403995499105	2	214	18	1.0
26	KEGG-Pathway-pae00052: Galactose metabolism	0.0	1.0	0	214	5	1.0
27	KEGG-Pathway-pae00190: Oxidative phosphorylation	0.4417492609980873	0.8953662186366942	1	214	55	1.0
28	KEGG-Pathway-pae00521: Streptomycin biosynthesis	0.0	1.0	0	214	8	1.0
29	KEGG-Pathway-pae02030: Bacterial chemotaxis	0.543213828425096	0.841990079783909	1	214	45	1.0
30	KEGG-Pathway-pae00590: Arachidonic acid metabolism	0.0	1.0	0	214	6	1.0
31	KEGG-Pathway-pae00920: Sulfur metabolism	0.5082409349715313	0.8603577545217131	1	214	51	1.0
32	KEGG-Pathway-pae03070: Bacterial secretion system	0.27563052735014737	0.9721706109328833	1	214	92	1.0
33	KEGG-Pathway-pae00450: Selenocompound metabolism	2.6739697443922794	0.33545246413689117	1	214	10	1.0
34	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation	1.0915523156089193	0.5551055527166767	2	214	47	1.0
35	KEGG-Pathway-pae00281: Geraniol degradation	0.0	1.0	0	214	24	1.0
36	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism	1.4134217067108534	0.5210364686638664	1	214	19	1.0
37	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)	0.0	1.0	0	214	34	1.0
38	KEGG-Pathway-pae03060: Protein export	0.0	1.0	0	214	18	1.0
39	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis	1.3346374543557642	0.5402632920916206	1	214	20	1.0
40	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism	0.0	1.0	0	214	32	1.0
41	KEGG-Pathway-pae00750: Vitamin B6 metabolism	0.0	1.0	0	214	9	1.0
42	KEGG-Pathway-pae00500: Starch and sucrose metabolism	0.0	1.0	0	214	18	1.0
43	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis	0.0	1.0	0	214	21	1.0
44	KEGG-Pathway-pae00350: Tyrosine metabolism	0.0	1.0	0	214	27	1.0
