PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label	mean expression	standard deviation expression	min expression	25% expression	50% expression	75% expression	max expression	variance expression	range expression
PA14_54660	PA0744	0.41694391676497583	5.865822821296511e-224			803.5433437176529	1081.8171700653802	14.2405635256319	142.068583098661	414.380787961657	913.5221367739261	6057.5181563140295	1170328.3894482676	6043.277592788398
PA14_30620	PA2588	0.4944031372295587	0.0			892.6015077802904	1095.9778743443312	15.326450686146	209.81343403652127	484.46584284566404	1002.5230131159349	7104.68472493239	1201167.5010523186	7089.358274246244
PA14_68400	PA5178	0.5202947020692432	0.0			3134.4722148017263	3559.7451211134594	25.2803749568227	695.0708335312072	2015.4102974032799	4014.206073729502	25298.7909570436	12671785.327291077	25273.510582086776
PA14_38850	PA1983	0.2399504141861835	6.754510165536553e-71	exaB		35.467320777244936	219.49940250002518	0.0	0.0	3.23812701024794	11.4331338170341	4543.642316105779	48179.98769786806	4543.642316105779
PA14_04760	PA0363	0.4657346578670542	3.8286446806739035e-286	coaD		355.33834017200655	255.92323083213023	19.5371343241419	198.75216963840575	284.6435476897725	436.77994944915275	2042.6519809545496	65496.70007955581	2023.1148466304078
PA14_61610	PA4658	0.3275129862232142	6.736082312787026e-134			350.86980008882483	994.2731150621815	12.083579461550901	83.09968592559207	130.2594867040535	277.7658936652633	11660.904905624098	988579.0273354541	11648.821326162548
PA14_00010	PA0001	0.4613914303328595	3.4672340983185934e-280	dnaA		2807.317348279107	1464.2769609632157	852.2572449006869	1818.388277045475	2451.53996673019	3567.235387137025	16203.912540053601	2144107.018407671	15351.655295152914
PA14_64460	PA4874	0.4862674682869248	1.677955766e-315			796.9987014477223	2310.9120064577323	17.9552936443279	193.673287338359	453.1762602029405	876.240089162713	32940.2881621188	5340314.301590502	32922.33286847447
PA14_55770	PA4292	0.5270962090225385	0.0			605.5860400384557	493.9376634528129	0.0	266.39913748748245	487.520526730034	767.9506377794464	2805.52352326649	243974.41537722427	2805.52352326649
PA14_10700	PA4117	0.529771964261856	0.0			1459.506061417007	1066.9328096394631	151.348700525691	798.3233427861408	1288.339785665785	1819.67353704292	11875.840541858	1138345.620285159	11724.49184133231
PA14_65840	PA4980	0.20116544874548012	6.122955754447927e-50			39.96110130498314	69.88584119437483	0.0	9.213114641685001	20.539951404779345	38.72226677125385	553.825431239489	4884.030799445379	553.825431239489
PA14_35600	PA2242	0.19195423150642174	1.510015025623404e-45	pslL		86.08067774878164	128.8141657901483	0.0	25.467808514822675	51.6277082068506	85.33705790448185	1040.99939175992	16593.089308211816	1040.99939175992
PA14_35390	PA2257	0.10622115173126592	6.837389125025669e-15	pvcD	least stable	11.979936411520473	36.670292079370405	0.0	0.0	3.6386499875762297	9.682574068329773	396.83050546134695	1344.710321186336	396.83050546134695
PA14_54550	PA0753	0.18068157703473164	1.802708224607972e-40			34.47396031386523	48.18590630294484	0.0	7.028747960972705	16.5431368955254	41.86925516143607	300.22740685944	2321.881566236179	300.22740685944
PA14_14170	PA3852	0.4168793104993151	6.9835262285261695e-224			235.19753559249085	214.4358764325512	9.805946274805779	101.42516741550976	180.6622356705285	304.158117683572	2051.36336854003	45982.745101396365	2041.5574222652242
PA14_66140	PA5002	0.5286052703172163	0.0	dnpA		739.3906479722497	417.8136678460611	42.6477982675761	459.97428346715566	679.0874763978204	908.5543183258433	2456.15956031182	174568.26103897867	2413.511762044244
PA14_42860	PA1673	0.5352251334907746	0.0			2085.9319338363557	2479.983195566747	28.6672571916266	548.2487380486409	1491.96803179715	2900.6459239395	25774.635168186094	6150316.650293454	25745.967910994466
